deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments,trap_nights,raw_label,cam_label,treatment
cd45c85f-ba24-4d1b-a632-67b6d9f46d78,a5946ad7-fa4d-4549-811f-ceafecfcbe28,Bwindi - F15 (102),-1.097717,29.807793,NA,2026-02-10T16:28:48Z,2026-02-18T14:33:55Z,NA,29f92959-24b9-4f09-8e41-a4d72a9e0ac7,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.920219907407407,F15 (102),F15,Roadside
ce630e7f-e5a2-4c55-b5ae-e70daf12224a,33ab4328-10aa-4394-af3b-a3f797d2ddad,Bwindi - F16,-1.097712,29.812039,NA,2026-02-02T14:00:19Z,2026-03-14T10:37:36Z,NA,ee2ccfde-cd1d-4981-9a60-3ae9e440e7b9,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F16,39.859224537037036,F16,F16,Roadside
d2060b9b-30df-4bd7-bab9-359475b5f1b8,9c02d61f-aed0-4792-ae51-72b92483cca8,Bwindi - C01,-1.08886,29.815651,NA,2026-02-03T13:43:34Z,2026-03-15T09:42:44Z,NA,cbf1191b-540f-4afb-9fbb-da7d7fc59ec1,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.832754629629626,C01,C01,Interior
d4a78b77-942d-4946-b5dc-00a55f74250d,c5fc1364-254f-471b-832f-ae1d740dad5b,Bwindi - F18 (101),-1.101838,29.807666,NA,2026-02-03T09:15:47Z,2026-02-17T07:54:04Z,NA,464b2e68-3d11-475a-8bc8-9bc925bd39c8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.943252314814815,F18 (101),F18,Roadside
d93749f5-f775-4061-b6df-bd6cc2bf785e,e206da63-cb47-4b34-8c81-9d6a98362f97,Bwindi - F04,-1.067069,29.790166,NA,2026-02-02T10:05:13Z,2026-03-14T08:54:30Z,NA,1d59d71b-921b-486f-86f9-3617a9b1b0af,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.950891203703705,F04,F04,Roadside
da1624fb-d6f0-46a2-a516-fca1df5e3e99,e3351357-f290-402b-a0b6-c05bdb2aedef,Bwindi - F11 (101),-1.088194,29.81106,NA,2026-02-02T10:14:04Z,2026-02-12T11:02:01Z,NA,f4cef494-70a9-40c9-82e6-7952205e6879,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.03329861111111,F11 (101),F11,Roadside
dc2637dd-f3c4-45b8-a6d5-277d807bf2a0,d880caa5-aab8-4411-a5a0-bf24423b918f,Bwindi - F13 (104),-1.093285,29.805872,NA,2026-03-08T21:39:54Z,2026-03-14T10:09:14Z,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.520370370370371,F13 (104),F13,Roadside
e43979de-3b9e-4053-83c2-c14e5becff1c,e020bdf2-411b-412b-96bf-497996e2c93e,Bwindi - F13 (102),-1.093285,29.805872,NA,2026-02-12T11:31:14Z,2026-02-23T17:48:05Z,NA,319753b0-94d0-4e77-9e30-78b0f2db7ad2,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.26170138888889,F13 (102),F13,Roadside
e4d0d4aa-be15-4497-926c-fb6c3cd3bcea,e705800b-8c6b-4bb0-a1b3-a8e405112965,Bwindi - F14 (103),-1.096807,29.805013,NA,2026-02-20T15:47:07Z,2026-03-04T07:44:50Z,NA,bcf9adb7-83b2-496f-a67d-00a7e7ceead8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.665081018518519,F14 (103),F14,Roadside
ee451414-76bb-4b35-a430-4c5e71a78d8d,d3825c51-f66c-4284-9d84-a6900f9e8cf6,Bwindi - F14 (102),-1.096807,29.805013,NA,2026-02-11T14:25:33Z,2026-02-20T15:47:06Z,NA,bcf9adb7-83b2-496f-a67d-00a7e7ceead8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.056631944444444,F14 (102),F14,Roadside
f1a744d3-0ef6-4c9b-ba85-2765cbfb27aa,ce279206-9768-435a-bd0d-fbfae110416f,Bwindi - F15 (103),-1.097717,29.807793,NA,2026-02-18T14:33:56Z,2026-02-28T14:44:35Z,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.007395833333334,F15 (103),F15,Roadside
